OTU	NC3	NC1	NC2	NEG1	NEG2	NC4	NTC1	NTC2	BT38	45207	DF46144	BF193	PE048	BT51	BT25-1	DF45570-r4	DF45955	BF187	PE168-1	BF234	BT118-r4	45261	DF46114	DF46025	45263	BT20	45252-r2	PE455	45252-r5	PE184	PE062	DF46110	45224	PE043	PE475	45375	DF46112	BT118-r1	DF45989	DF45570-r2	BF188	PE168-3	DF46090	BT35	45252-r3	PE411	BT104	BT114	BF278-2	DF46099	BT33	BT70	BF182	DF46159	45418	45311	BF255	BT30	DF45570-r3	BT118-r2	BF252	BF340	PE168-2	45366	BT62	45368	BF153	45504	45351	45252-r4	DF45701	45267	45293	45257	45252	45234	45302	BF165	BT121	PE106	BT118	PE116	BF149	DF45698	45209-1	DF45570	DF46001	BF190	BT118-r3	45209-2	BT31	PE176	45533	BF324	BT118-r5	PE134	45354	45430	45381	PE130	45465	PE058	45313	BF346	PE162	BT100	BT105	45329	BT5	BF278-3	BF277	45393	PE160	DF45979	BT25-2	BT57	PE042	DF45570-r5	DF45944	45252-r1	45209-3	DF45567	BF283	45516	BT43	45346	PE038	PE044	DF46039	BT4	DF46162	BF191	45442	PE164	BF300	PE035	DF45570-r1	BT25-3	45201	BF202	PE045	BF280	BF278-1
OTU1	0	0	0	0	0	0	0	0	23	223	0	0	1	0	0	1	0	0	55	69	386	690	0	0	853	2	21538	1	18294	0	0	2	615	46	379	2835	167	0	0	0	1	0	0	0	19332	1	0	0	1	0	0	2	1	0	4653	0	1	0	0	0	506	0	0	2506	0	233	1278	615	531	445	280	2115	81	2420	4071	74	1	0	2	1	338	0	0	677	2959	0	0	0	0	3526	79	1	903	0	0	0	1627	412	0	1	2581	1	1	0	1	0	80	518	26	4	0	14	0	0	0	0	0	0	0	17475	3592	0	0	78	205	675	4	0	0	0	0	0	1657	0	0	0	1	2	1	0	0	0	0
OTU2	0	0	0	0	0	0	0	2	525	2289	1437	1143	517	128	10	8120	1530	132	1011	791	2474	4327	1686	1304	2460	1302	3304	695	3596	1323	1552	1099	3335	858	2295	2192	2035	2	4707	2613	1114	684	1185	1815	5046	135	338	46	3350	1660	1	2	485	2529	1637	2773	3014	163	0	0	1318	118	353	3233	288	1923	2465	492	5206	123	1430	1335	527	1263	2815	867	2294	109	29	417	402	107	1842	1379	1763	400	954	3413	1	2313	143	738	1720	2305	194	310	4814	1699	1875	575	3110	504	5007	0	435	3	1181	1640	639	3192	2797	1054	733	1966	7	19	800	62	1594	3959	2718	147	1908	722	438	1314	156	1155	564	1423	2137	2153	2393	423	2689	1327	439	14	5986	2352	934	1901	3037
OTU3	0	0	0	0	0	0	0	0	7	32	512	423	1629	67	0	16	90	0	4982	457	0	0	1247	256	0	0	0	5485	0	7167	2057	653	71	4433	946	163	1317	1	221	80	0	4187	37	10	0	2281	0	0	2	415	0	0	0	328	0	0	0	0	0	0	92	0	2987	0	1	0	0	1	0	0	482	0	0	0	0	0	0	0	0	618	1	2319	0	356	0	58	167	0	0	0	0	558	1	19	0	10563	0	0	0	20269	0	4064	2	0	1637	0	15	18	6	12	422	197	1295	4239	0	0	172	0	714	0	0	157	0	21	51	83	227	6991	914	0	672	0	12	923	5	712	127	0	0	0	2253	8	0
OTU4	45	0	0	0	0	0	0	0	7	6426	0	0	0	0	0	0	0	0	110	1219	648	1101	0	0	442	0	4	0	0	0	0	0	1920	33	194	1344	108	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	7973	13458	1	0	0	1	475	0	0	1072	0	154	0	17	2070	6	272	108	4429	544	33	4132	7293	0	0	0	291	0	0	146	625	0	1	0	0	654	74	0	4402	0	0	1	3775	1152	6426	0	2729	0	3187	0	0	0	191	662	38	58	0	1144	248	0	0	0	0	0	0	73	657	0	0	3760	299	1089	0	0	1	0	1	0	5221	0	1	0	0	0	109	0	0	0	2
OTU5	0	0	0	0	0	0	1	0	3	2498	0	16	8	99	12410	0	1	13	0	485	2	0	0	0	0	0	918	0	0	0	0	0	8998	68	204	213	18	0	0	1	0	0	0	0	1	0	0	0	0	0	680	71	0	0	1178	2613	2	95	0	0	88	0	0	781	0	15129	0	730	270	30	54	2034	2736	1	199	688	260	67	0	0	82	0	0	567	3337	0	0	0	3	3906	459	0	7247	0	1	2	69	64	716	1	95	0	15568	0	0	28302	1004	4328	134	2	0	46	2	0	10245	4754	0	0	0	9859	3785	0	0	1999	54	38	0	0	0	0	0	1	6768	0	0	0	0	21470	0	0	0	0	0
OTU6	0	13	35	0	0	0	0	0	1141	1677	321	380	1152	326	1484	868	162	1567	1849	454	1578	290	51	15	865	1303	1136	205	1548	123	386	335	115	474	402	791	576	187	274	2252	1244	591	545	1093	1067	1198	178	509	234	251	1193	1298	1245	48	2034	69	2756	516	0	1000	1026	435	638	1947	73	1448	212	577	396	8	1180	1121	906	476	1142	1291	877	197	489	433	505	165	260	324	1115	7	28	1442	878	939	576	277	1507	1213	1374	315	1544	1739	615	506	2267	4270	129	2953	782	776	1140	1036	1785	444	86	3356	1028	428	1495	560	570	55	939	2421	1496	721	249	2709	3414	996	469	2053	532	109	697	2237	2614	1844	969	1843	127	3207	4391	3084	37	322	168
OTU7	0	0	3	0	0	0	0	0	11	45	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	78	0	2	0	58	12	68	111	138	913	0	0	0	0	0	5	0	0	0	261	1	0	0	0	0	0	1	0	2	0	0	34115	218	1	0	0	1	0	0	1	0	0	144	0	0	0	0	0	0	0	0	0	1564	2	0	0	1	0	0	0	35630	0	18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	21	4813	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	27	0	0	29	0	0	0	0	0	0	0	0	0	0
OTU8	1	0	60	0	0	0	0	0	919	259	2901	787	2132	499	1364	363	2374	2041	773	566	1085	1642	810	1805	26	1472	0	1665	584	1302	2999	1334	186	1238	305	141	460	0	6337	8741	404	773	1470	1458	769	1595	54	117	348	3004	582	98	1598	4119	1114	107	2805	86	0	293	1602	462	352	0	0	1	190	57	67	2	936	57	86	14	10	128	58	6	805	2015	472	2782	1	1105	58	821	3613	3685	321	69	578	2144	373	2096	2847	4255	25	12	124	1986	215	871	0	2778	4512	2737	313	1022	1680	369	1162	289	1136	2475	833	589	2549	236	3526	0	56	104	911	367	247	189	745	2744	2354	477	3307	910	108	2073	221	698	5655	2567	1	1020	588	6153	259
OTU9	0	0	0	0	0	0	0	0	12	21	511	819	4793	193	0	99	65	1	1769	161	0	0	222	825	0	0	0	1127	0	1253	703	0	41	5695	548	62	602	0	560	8214	0	1516	375	51	0	1122	0	0	0	908	0	0	1	500	0	0	0	0	0	0	218	0	1241	0	0	0	0	0	0	0	1411	0	0	0	0	0	0	0	0	3014	2	606	1	867	0	237	1437	0	0	0	0	465	0	0	0	3899	0	0	0	1582	0	1953	0	0	3152	0	12	11	4	7	0	131	915	1706	1	0	3824	6	1077	0	0	1642	0	59	61	130	633	3567	2559	0	474	0	8	844	0	3454	162	0	0	0	3419	0	0
OTU10	0	1	0	0	0	0	0	0	1	0	65	1	0	4	0	22802	0	1	1	0	0	0	1	1	0	1	0	0	0	18	0	1499	5	1	0	0	0	0	16	1414	208	0	321	53	0	1	1	0	1252	13	1	0	0	0	0	0	275	0	0	0	106	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	2	16	1	15723	177	3490	0	1	0	0	4	5	0	428	0	0	0	0	0	1	0	0	0	0	123	70	698	1353	0	158	134	0	1	0	0	1	24	0	3	0	0	2	0	0	0	0	0	9872	1235	305	1	404	403	3	1143	0	0	0	2	0	1079
