Sample	Plot	Location	Ecotope
45201	IT	Interior	treeline
45207	IT	Interior	treeline
45224	IF	Interior	forest
45234	IF	Interior	forest
45252	IF	Interior	forest
45257	IT	Interior	treeline
45261	IT	Interior	treeline
45263	IT	Interior	treeline
45267	IT	Interior	treeline
45293	IF	Interior	forest
45302	IF	Interior	forest
45311	IF	Interior	forest
45313	IF	Interior	forest
45329	IF	Interior	forest
45346	IF	Interior	forest
45351	IF	Interior	forest
45354	IT	Interior	treeline
45366	IT	Interior	treeline
45368	IT	Interior	treeline
45375	IF	Interior	forest
45381	IF	Interior	forest
45393	IF	Interior	forest
45418	IF	Interior	forest
45430	IT	Interior	treeline
45442	IT	Interior	treeline
45465	IF	Interior	forest
45504	IF	Interior	forest
45516	IF	Interior	forest
45533	IF	Interior	forest
45209-1	IF	Interior	forest
45209-2	IF	Interior	forest
45209-3	IF	Interior	forest
45252-r1	IF	Interior	forest
45252-r2	IF	Interior	forest
45252-r3	IF	Interior	forest
45252-r4	IF	Interior	forest
45252-r5	IF	Interior	forest
BF149	BF	Brooks_Range	forest
BF153	BF	Brooks_Range	forest
BF165	BF	Brooks_Range	forest
BF182	BF	Brooks_Range	forest
BF187	BF	Brooks_Range	forest
BF188	BF	Brooks_Range	forest
BF190	BF	Brooks_Range	forest
BF191	BF	Brooks_Range	forest
BF193	BF	Brooks_Range	forest
BF202	BF	Brooks_Range	forest
BF234	BF	Brooks_Range	forest
BF252	BF	Brooks_Range	forest
BF255	BF	Brooks_Range	forest
BF277	BF	Brooks_Range	forest
BF278-1	BF	Brooks_Range	forest
BF278-2	BF	Brooks_Range	forest
BF278-3	BF	Brooks_Range	forest
BF280	BF	Brooks_Range	forest
BF283	BF	Brooks_Range	forest
BF300	BF	Brooks_Range	forest
BF324	BF	Brooks_Range	forest
BF340	BF	Brooks_Range	forest
BF346	BF	Brooks_Range	forest
BT100	BT	Brooks_Range	treeline
BT104	BT	Brooks_Range	treeline
BT105	BT	Brooks_Range	treeline
BT114	BT	Brooks_Range	treeline
BT118	BT	Brooks_Range	treeline
BT118-r1	BT	Brooks_Range	treeline
BT118-r2	BT	Brooks_Range	treeline
BT118-r3	BT	Brooks_Range	treeline
BT118-r4	BT	Brooks_Range	treeline
BT118-r5	BT	Brooks_Range	treeline
BT121	BT	Brooks_Range	treeline
BT20	BT	Brooks_Range	treeline
BT25-1	BT	Brooks_Range	treeline
BT25-2	BT	Brooks_Range	treeline
BT25-3	BT	Brooks_Range	treeline
BT30	BT	Brooks_Range	treeline
BT31	BT	Brooks_Range	treeline
BT33	BT	Brooks_Range	treeline
BT35	BT	Brooks_Range	treeline
BT38	BT	Brooks_Range	treeline
BT4	BT	Brooks_Range	treeline
BT43	BT	Brooks_Range	treeline
BT5	BT	Brooks_Range	treeline
BT51	BT	Brooks_Range	treeline
BT57	BT	Brooks_Range	treeline
BT62	BT	Brooks_Range	treeline
BT70	BT	Brooks_Range	treeline
DF45567	AF	Alaska_Range	forest
DF45570	AF	Alaska_Range	forest
DF45570-r1	AF	Alaska_Range	forest
DF45570-r2	AF	Alaska_Range	forest
DF45570-r3	AF	Alaska_Range	forest
DF45570-r4	AF	Alaska_Range	forest
DF45570-r5	AF	Alaska_Range	forest
DF45698	AF	Alaska_Range	forest
DF45701	AF	Alaska_Range	forest
DF45944	AF	Alaska_Range	forest
DF45955	AF	Alaska_Range	forest
DF45979	AF	Alaska_Range	forest
DF45989	AF	Alaska_Range	forest
DF46001	AF	Alaska_Range	forest
DF46025	AF	Alaska_Range	forest
DF46039	AF	Alaska_Range	forest
DF46090	AF	Alaska_Range	forest
DF46099	AF	Alaska_Range	forest
DF46110	AF	Alaska_Range	forest
DF46112	AF	Alaska_Range	forest
DF46114	AF	Alaska_Range	forest
DF46144	AF	Alaska_Range	forest
DF46159	AF	Alaska_Range	forest
DF46162	AF	Alaska_Range	forest
PE035	AT	Alaska_Range	treeline
PE038	AT	Alaska_Range	treeline
PE042	AT	Alaska_Range	treeline
PE043	AT	Alaska_Range	treeline
PE044	AT	Alaska_Range	treeline
PE045	AT	Alaska_Range	treeline
PE048	AT	Alaska_Range	treeline
PE058	AT	Alaska_Range	treeline
PE062	AT	Alaska_Range	treeline
PE106	AT	Alaska_Range	treeline
PE116	AT	Alaska_Range	treeline
PE130	AT	Alaska_Range	treeline
PE134	AT	Alaska_Range	treeline
PE160	AT	Alaska_Range	treeline
PE162	AT	Alaska_Range	treeline
PE164	AT	Alaska_Range	treeline
PE168-1	AT	Alaska_Range	treeline
PE168-2	AT	Alaska_Range	treeline
PE168-3	AT	Alaska_Range	treeline
PE176	AT	Alaska_Range	treeline
PE184	AT	Alaska_Range	treeline
PE411	AT	Alaska_Range	treeline
PE455	AT	Alaska_Range	treeline
PE475	AT	Alaska_Range	treeline
