Sample	Plot	Location	Ecotope	pH	Age	DBH	Height	Latitude	Longitude	BAI_5y	BAI_10y	BAI_15y	BAI_30y
DF45567	AF	Alaska_Range	forest	3.54	85	16.8	9.8	63.7246039	-149.009919	1.0599878468504	1.00039469418951	0.937548019132745	1.00195496481287
DF45570	AF	Alaska_Range	forest	3.57	145	12.6	8.9	63.72458402	-149.0104254	1.04544393547358	1.00433361276861	0.946473715788287	0.981101052327347
DF45698	AF	Alaska_Range	forest	NA	159	13.1	9.2	63.72498627	-149.0108979	1.07426756195735	0.980380038095377	0.960761968159229	0.99261024269383
DF45701	AF	Alaska_Range	forest	3.5	59	9	5.7	63.7250143	-149.0102744	1.04332976556595	0.997669579044477	0.954570744949947	1.01014774134735
DF45944	AF	Alaska_Range	forest	4.56	181	29.4	16	63.72489551	-149.0100783	1.05344175810748	0.938078322696825	0.94509821078723	0.996151613902689
DF45955	AF	Alaska_Range	forest	3.71	181	40.1	13.9	63.72471429	-149.010728	1.09781889428349	1.01175221345001	0.913268605349559	0.990465605376008
DF45979	AF	Alaska_Range	forest	4.24	140	34	6.3	63.72493453	-149.0104181	1.08210092397852	0.954183973643527	0.942596941294936	0.985589461658455
DF45989	AF	Alaska_Range	forest	3.46	159	30.5	13.4	63.72489652	-149.0102726	0.968072576245427	1.05018907452135	1.01618295852604	0.990426460371766
DF46001	AF	Alaska_Range	forest	3.63	69	26.1	13.2	63.72471695	-149.0101793	1.12452958260496	0.975742991935196	0.934452716013483	0.989762784111205
DF46025	AF	Alaska_Range	forest	3.9	149	29.3	10.5	63.72477401	-149.0104094	1.04894495597744	1.01063137664875	0.97371369855502	0.990283792605984
DF46039	AF	Alaska_Range	forest	3.59	81	19.1	10.3	63.72505964	-149.0106555	1.06171624573293	1.03925862036714	0.934210048185797	1.02091155078417
DF46090	AF	Alaska_Range	forest	3.82	162	37.4	15.8	63.7250625	-149.0107633	1.06842805318633	0.970357575783435	0.971020862489607	1.01162944372268
DF46099	AF	Alaska_Range	forest	3.54	202	46.1	14.1	63.72527313	-149.0109701	0.975244557311782	1.00103580696052	0.992327954091656	0.99978620463987
DF46110	AF	Alaska_Range	forest	4.18	145	30.8	14.6	63.7252544	-149.0110118	0.948363995026573	1.01609581954336	1.03536678491513	0.975604130909909
DF46112	AF	Alaska_Range	forest	3.93	51	18.1	12.3	63.72509097	-149.0110227	1.01663582061154	0.998957972201238	0.960348205985536	1.00600287212313
DF46114	AF	Alaska_Range	forest	3.67	142	15.5	8.4	63.72517191	-149.0111222	1.01564825467048	1.01646606791745	1.00859693690805	0.988290241761627
DF46144	AF	Alaska_Range	forest	3.6	165	36.2	12.4	63.72495512	-149.01113	1.00722048995928	1.01053718840014	0.979550612748227	0.992842555321225
DF46159	AF	Alaska_Range	forest	3.82	159	44	15	63.72477876	-149.0110534	0.975922996618754	1.00919292399561	0.995202258987639	0.999641354629298
DF46162	AF	Alaska_Range	forest	3.75	134	13.5	8.4	63.72467749	-149.0112003	1.05161621054878	1.00463804407227	0.949707802579361	0.993639530448992
PE035	AT	Alaska_Range	treeline	3.27	45	10.8	5.2	63.73665227	-149.0103524	2.75197619964367	2.37107413800881	2.17412737872691	1.48373028877819
PE038	AT	Alaska_Range	treeline	3.3	81	8.5	5	63.7365814	-149.0102893	1.00487941307572	0.997006362919283	1.0079500053139	0.999231352152303
PE042	AT	Alaska_Range	treeline	4.68	88	14.8	7.4	63.73653469	-149.0107351	2.78398956939713	2.51185818639502	2.38617763516457	2.02137555432699
PE043	AT	Alaska_Range	treeline	3.38	74	18.5	8.1	63.73641672	-149.0104397	1.07843910050897	0.980714307900952	0.964806947892013	1.00573802385818
PE045	AT	Alaska_Range	treeline	3.38	65	12	6.1	63.73639979	-149.0102701	3.3649175509396	2.88618746013603	2.54028509576575	1.92034046760084
PE048	AT	Alaska_Range	treeline	3.3	119	18.6	8.7	63.73625017	-149.0110985	1.03524196374363	0.984573409783023	0.991647626189718	1.000546076037
PE058	AT	Alaska_Range	treeline	3.3	NA	2.8	2.3	63.73544	-149.010497	NA	NA	NA	NA
PE062	AT	Alaska_Range	treeline	3.22	NA	NA	NA	63.7354	-149.010087	NA	NA	NA	NA
PE106	AT	Alaska_Range	treeline	3.46	85	17.3	7.5	63.73622295	-149.0110255	1.05177724662366	1.0155489362043	0.984463424749566	0.973951907301668
PE116	AT	Alaska_Range	treeline	3.54	133	16.5	6.9	63.7362807	-149.0107251	0.952991982172113	1.08429032940944	0.970528678770526	0.990230245814011
PE130	AT	Alaska_Range	treeline	3.47	150	13.5	8.5	63.73634806	-149.0108404	4.52556780462316	3.74254405435196	3.45706510022516	3.07261691985122
PE134	AT	Alaska_Range	treeline	3.45	86	8.4	5.2	63.7361914	-149.0101674	1.14529449490606	0.891626241314186	0.881542153310037	0.98665583299177
PE160	AT	Alaska_Range	treeline	3.17	38	10.1	4.9	63.73597119	-149.010655	1.70292374711899	1.5952545771918	1.53342958561674	1.26862291771765
PE162	AT	Alaska_Range	treeline	3.62	45	13.5	7	63.73555985	-149.00992	1.11295152337976	0.948698093018388	0.918229556935832	1.00479688956169
PE164	AT	Alaska_Range	treeline	3.13	86	10.9	4.6	63.73534765	-149.0094711	1.06159221607109	0.979607917367302	0.953263432212855	0.992179763303333
PE168-1	AT	Alaska_Range	treeline	3.37	42	7.8	4.7	63.73523815	-149.010446	1.0296596662916	1.03044605661792	0.954539761961553	0.988001944237194
PE176	AT	Alaska_Range	treeline	3.45	69	14.9	7.3	63.73585415	-149.011748	1.24956742947484	1.16176503515608	1.1481636090776	1.81127169873923
PE184	AT	Alaska_Range	treeline	3.58	48	15.5	5.5	63.73555965	-149.0116475	3.36201330804823	2.52663170260597	2.08030055442097	1.52989135448446
PE411	AT	Alaska_Range	treeline	3.5	60	9.4	5	63.73550934	-149.0112765	1.06928182054229	1.00014115001735	0.982922587865919	0.974827112504928
PE455	AT	Alaska_Range	treeline	3.58	45	14.8	4.9	63.73530184	-149.0111423	1.06461327179731	1.00280609838422	0.967966483188737	1.01353583618182
PE475	AT	Alaska_Range	treeline	3.78	NA	NA	NA	63.735862	-149.009837	NA	NA	NA	NA
BF149	BF	Brooks_Range	forest	4.23	62	14.9	6	67.946264	-149.745381	1.03604203487239	0.996460653513945	0.980762217897768	1.00239053086884
BF153	BF	Brooks_Range	forest	5.31	61	13.1	6.3	67.94616	-149.745171	0.966128774660896	1.0362234982986	0.988844184261185	0.993998137170701
BF165	BF	Brooks_Range	forest	6.88	162	22.3	13.1	67.946146	-149.745571	1.02698502443419	0.981352022921674	0.982607085145119	0.995147776825565
BF182	BF	Brooks_Range	forest	6.73	43	10.1	6.2	67.946115	-149.744391	0.982479679717578	0.961902333239713	1.0058581066495	0.993480373635852
BF187	BF	Brooks_Range	forest	6.82	110	30.5	12	67.946126	-149.744572	0.971710107541443	1.00210117038512	0.993913242034374	0.990325194111655
BF188	BF	Brooks_Range	forest	5.42	173	29.1	14.1	67.946053	-149.746043	1.06235233960483	1.04588977453348	0.953555113276349	0.994242198180711
BF190	BF	Brooks_Range	forest	4.27	150	20.5	12.3	67.946043	-149.745973	0.824316804588339	1.09727032867146	0.988353440822399	0.990448849824281
BF191	BF	Brooks_Range	forest	4.17	159	25.2	13.8	67.945975	-149.745982	1.07895930188059	1.0073105779125	0.976448878105966	0.992206175919586
BF193	BF	Brooks_Range	forest	4.64	118	7.4	4	67.946068	-149.745644	1.01811610494557	0.946496589709082	0.969867492315304	1.00565575339803
BF202	BF	Brooks_Range	forest	6.88	111	12.2	6.4	67.94605	-149.745011	1.00741895486602	1.01453436577339	1.00234552715587	0.99376182060584
BF234	BF	Brooks_Range	forest	7.19	121	23.2	11	67.946141	-149.744413	1.01161572713866	0.991129552747349	1.01065936001379	0.986909090114748
BF252	BF	Brooks_Range	forest	4.25	144	15.7	9.5	67.946065	-149.744296	1.12715128457969	0.986049924248037	0.909387745426552	0.999206081349964
BF255	BF	Brooks_Range	forest	6.12	187	14.2	8.4	67.946046	-149.744368	3.08879439026205	2.34117170988422	2.00404855717511	1.82048655655274
BF277	BF	Brooks_Range	forest	4.9	137	18.6	10.8	67.94596	-149.74471	1.35671628116426	1.18864278160559	1.28192601260004	1.52123957997743
BF278-1	BF	Brooks_Range	forest	4.61	161	18.8	9.2	67.945933	-149.744728	1.56060007223438	1.42638700630989	1.4079596148444	1.41066333161009
BF280	BF	Brooks_Range	forest	4.38	46	18.2	19.5	67.945875	-149.744443	NA	NA	NA	NA
BF283	BF	Brooks_Range	forest	3.66	47	22.5	27.8	67.945891	-149.744499	NA	NA	NA	NA
BF300	BF	Brooks_Range	forest	5.06	161	16.4	10.2	67.9459	-149.744629	1.06650275734866	1.00085146539674	0.974873736092598	0.960670320301398
BF324	BF	Brooks_Range	forest	4.7	231	17.4	10.4	67.945765	-149.744786	1.31055262008608	1.15668377420105	1.07435708691357	1.19124479492305
BF340	BF	Brooks_Range	forest	6.94	27	5.5	3.4	67.945797	-149.744867	1.00126951932999	0.982763137003412	0.9803617473083	1.00758598618204
BF346	BF	Brooks_Range	forest	7.11	36	7.6	4.2	67.945826	-149.744737	1.00277374201518	1.01757835437351	1.00274857297239	0.999052445465196
BT100	BT	Brooks_Range	treeline	7.12	103	21.1	8.2	67.946164	-149.742124	2.04915336908872	1.83992269113307	1.61847254147421	1
BT104	BT	Brooks_Range	treeline	7.08	157	21.3	9.1	67.946335	-149.74184	0.943289459708465	0.979512281474632	1.00846425015369	0.987471564075079
BT105	BT	Brooks_Range	treeline	7.1	159	14.8	6.8	67.946416	-149.742867	1.10219755627721	1.019144122308	0.96273521637019	1.00903414401486
BT114	BT	Brooks_Range	treeline	6.99	252	17.4	10.2	67.94659	-149.741994	1.00298230312788	0.992857553937948	1.00274427133975	0.97508039449751
BT118	BT	Brooks_Range	treeline	6.82	49	9.2	4.8	67.946296	-149.741617	1.01088286497836	1.00490660158264	1.00000079189123	0.967934305755035
BT121	BT	Brooks_Range	treeline	6.9	133	17.9	9.6	67.946342	-149.741756	0.987645796758534	1.04704612729755	0.957643991324184	0.977780587945242
BT20	BT	Brooks_Range	treeline	7.03	134	14.3	6	67.947049	-149.744726	1.05130145742849	0.995014924459937	0.975427886265175	1.01487418717895
BT25-1	BT	Brooks_Range	treeline	6.93	40	13.9	5.7	67.947681	-149.746141	1.04177184182547	0.969064410324754	1.04461052056016	0.975429142069474
BT30	BT	Brooks_Range	treeline	6.96	123	15.9	6	67.947302	-149.746556	0.910991243027066	0.985957690050051	1.03016793234853	0.997682845340367
BT31	BT	Brooks_Range	treeline	7.35	104	13	5.1	67.947321	-149.745513	0.977810433539707	1.05071928576835	0.985035071507774	0.98755234857732
BT33	BT	Brooks_Range	treeline	6.98	102	12.1	8.3	67.947019	-149.746597	0.967932404429944	1.04813919798855	1.01256995664484	0.993414628277724
BT35	BT	Brooks_Range	treeline	6.82	111	22.1	9.6	67.946891	-149.745487	0.980397836890541	1.00728989549713	1.01151424291621	0.993564743804291
BT38	BT	Brooks_Range	treeline	6.64	30	12.1	7.1	67.946855	-149.744739	1.09545580878628	0.967124569854624	0.95171743391005	0.988408972257594
BT4	BT	Brooks_Range	treeline	7.1	32	10.8	5.6	67.946671	-149.743353	1.00071264622682	0.967859656334143	1.0257714905924	0.991635833347144
BT43	BT	Brooks_Range	treeline	7.12	78	22.3	9	67.946859	-149.744239	1.03907803161288	0.988888078422707	0.995858955763773	0.977680278541916
BT5	BT	Brooks_Range	treeline	7.01	28	11	6.9	67.946679	-149.743412	0.934761539108298	1.01454394769064	1.02745104886166	1.00185027692773
BT51	BT	Brooks_Range	treeline	6.72	34	13.6	6.2	67.946583	-149.745647	2.14409468503954	1.96245000519548	1.75017750004669	1.12051084004096
BT57	BT	Brooks_Range	treeline	5.69	47	20.7	6.4	67.946528	-149.745735	1.16607953435279	0.932709478673854	0.884396924189747	1.00237499831736
BT62	BT	Brooks_Range	treeline	6.59	146	27	11.7	67.946458	-149.745447	0.968056688443738	0.969128145759347	1.01047933130156	0.991016548704099
BT70	BT	Brooks_Range	treeline	6.97	43	15.9	9.5	67.945939	-149.742387	0.96685769172179	1.00322620761466	1.01043472250383	0.989560901387159
45224	IF	Interior	forest	5.75	70	18.5	12.8	64.70457417	-148.3054541	1.1254395572439	1.10565098363559	0.88548421414732	0.993197622753438
45234	IF	Interior	forest	6.19	78	10.4	9.4	64.70459963	-148.3056193	0.867684690488771	1.15240334054071	0.861884532037521	0.976062930413005
45252	IF	Interior	forest	5.16	60	18.2	11.5	64.70421117	-148.3056742	6.08888416297052	4.82817890418875	3.48556868165294	1.92468969706521
45293	IF	Interior	forest	5.46	86	33.8	21.2	64.70457505	-148.3058428	3.48518200701334	3.09274745832959	2.26150229380626	1.73282172575213
45302	IF	Interior	forest	5.93	80	10.9	9	64.70458245	-148.3058143	1.15430181555469	1.02516542055991	0.823107792340881	0.968614004217739
45311	IF	Interior	forest	5.86	89	18	17.2	64.70456068	-148.3064639	1.25796144688321	0.89387419224028	0.82378260391077	0.9567509214191
45313	IF	Interior	forest	5.65	69	9.7	6.5	64.70456242	-148.3062998	1.09859264220783	1.00654643477787	0.853914362019274	1.01002198923955
45329	IF	Interior	forest	5.37	79	28.8	19.7	64.70446502	-148.306037	1.03282311624021	1.06540289780255	0.879294955755013	0.979119756103955
45346	IF	Interior	forest	5.44	53	19.2	11.7	64.70424579	-148.3061946	1.13155069222694	1.00990291736453	0.850458053857503	1.04174800616641
45351	IF	Interior	forest	5.99	90	20.9	15.1	64.70424083	-148.306365	1.20889775810004	0.908294465519186	0.783903974091574	1.00701542760415
45375	IF	Interior	forest	5.18	51	15.4	13.6	64.70429751	-148.3063614	1.13050478617585	1.02332380317599	0.950009661600704	0.981565866457523
45381	IF	Interior	forest	5.53	72	11.1	10.5	64.7044809	-148.3064056	1.09291252225758	1.03301478231457	0.850458053857503	1.04174800616641
45393	IF	Interior	forest	4.77	84	9.8	7.8	64.7046094	-148.3068714	1.26198788301041	0.950453935680416	0.796378876274126	0.922549315950864
