OTU	size	match	Species	ID1	ID2	reps/refs	Kingdom	Phylum	Class	Order	Family	Genus	Species	taxonomy	Trophic_Mode	Guild	Confidence_Ranking
OTU5	102579	99	Tomentella_sp	HQ445063	SH1280301.10FU	refs	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	-	Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella;-	Symbiotroph	Ectomycorrhizal	Highly Probable
OTU1	73172	99.2	Piloderma_sp	UDB04639151	SH1411840.10FU	reps	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	-	Fungi;Basidiomycota;Agaricomycetes;Atheliales;Atheliaceae;Piloderma;-	Symbiotroph	Ectomycorrhizal	Highly Probable
OTU3	62100	99	Polyozellus_umbrinus	UDB015056	SH1235909.10FU	refs	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Polyozellus	Polyozellus_umbrinus	Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Polyozellus;Polyozellus_umbrinus	Symbiotroph	Ectomycorrhizal	Probable
OTU4	58050	98.9	Piloderma_olivaceum	UDB04637169	SH1411854.10FU	reps	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	Piloderma_olivaceum	Fungi;Basidiomycota;Agaricomycetes;Atheliales;Atheliaceae;Piloderma;Piloderma_olivaceum	Symbiotroph	Ectomycorrhizal	Highly Probable
OTU22	57877	98.6	Sistotrema_sp	UDB07042387	SH1197802.10FU	reps	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Sistotrema	-	Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Hydnaceae;Sistotrema;-	Saprotroph-Symbiotroph	Plant Saprotroph	Possible
OTU14	56143	99.2	Penicillium_lanosum	LN808992	SH1306710.10FU	reps	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_lanosum	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium_lanosum	Pathotroph-Saprotroph-Symbiotroph	Undefined Saprotroph	Highly Probable
OTU17	56133	98.9	Inocybe_lacera	AM882975	SH1344403.10FU	reps	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_lacera	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe;Inocybe_lacera	Symbiotroph	Ectomycorrhizal	Highly Probable
OTU26	56020	95.9	Wilcoxina_rehmii	JQ989328	SH1505262.10FU	refs	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Wilcoxina	Wilcoxina_rehmii	Fungi;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Wilcoxina;Wilcoxina_rehmii	Symbiotroph	Ectomycorrhizal	Highly Probable
OTU18	52537	98	Cladophialophora_sp	UDB02900364	SH1352868.10FU	reps	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	-	Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;-	Pathotroph-Saprotroph-Symbiotroph	Undefined Saprotroph	Probable
OTU7	47025	98.9	Sebacina_sp	HQ444987	SH1793060.10FU	refs	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	-	Fungi;Basidiomycota;Agaricomycetes;Sebacinales;Sebacinaceae;Sebacina;-	Symbiotroph	Ectomycorrhizal	Possible
OTU13	44843	93.4	Pyronemataceae_sp	UDB0794071	SH1093558.10FU	reps	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	-	-	Fungi;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;-;-	Saprotroph-Symbiotroph	Ectomycorrhizal	Possible
