ID,DBH_cm,Height
45567,16.8,9.8
45570,12.6,8.9
45698,13.1,9.2
45701,9,5.7
45944,29.4,16
45951,46.1,17.4
45955,40.1,13.9
45970,23.9,10.9
45979,34,6.3
45983,16.8,10.1
45989,30.5,13.4
46001,26.1,13.2
46025,29.3,10.5
46038,14.8,8.8
46039,19.1,10.3
46090,37.4,15.8
46099,46.1,14.1
46110,30.8,14.6
46112,18.1,12.3
46114,15.5,8.4
46117,20.1,10.4
46131,18.6,13.4
46144,36.2,12.4
46145,20.1,9.1
46148,18.2,14
46159,44,15
46161,43.2,13.6
46162,13.5,8.4
46171,23.4,10.9
46179,19.4,12
