ID,DBH_cm,Height
45201,37.9,15.8
45206,21,10
45207,29.9,11.5
45209,18.3,12
45224,18.5,12.8
45229,24.9,15.8
45234,10.4,9.4
45252,18.2,11.5
45257,27,14.1
45259,17.6,12.7
45261,16,7.5
45262,30.9,11.9
45263,29.8,13.9
45267,18.5,12.9
45293,33.8,21.2
45302,10.9,9
45303,31.5,16.7
45308,23.9,16.2
45311,18,17.2
45313,9.7,6.5
45329,28.8,19.7
45340,26.2,14.8
45346,19.2,11.7
45351,20.9,15.1
45354,25,14.9
45356,18.9,10.7
45363,22,12.8
45366,18.4,11.4
45368,20.7,12.2
45375,15.4,13.6
45381,11.1,10.5
45384,25.4,13.2
45393,9.8,7.8
45395,36.5,21.8
45418,11.2,11.9
45430,26.6,19.3
45442,31.6,14.1
45446,16.2,8.5
45452,15.4,10.6
45455,16.7,9.3
45465,29.1,15.8
45473,16.5,12
45490,29.6,20.9
45504,10.9,8
45506,28.9,20.4
45516,10.5,9.1
45533,13.4,12.2
